subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,eval,ref_kind,view_kind,f0_hz,cap_hz,octave_step,half_bw
2,0,word_index,1,-0.0,1.0,1.0,0.7405857740585774,1.0,0.7913026732725268,2,955,478,151725,per_session_robust_mad_cf,7.304669141769409,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_gap,0,-0.0,1.0,1.0,0.6513249651324965,1.0,0.6898429840805467,2,1433,717,151725,per_session_robust_mad_cf,11.732567071914673,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_gap,1,-0.0,1.0,1.0,0.6513249651324965,1.0,0.6899130110020075,2,1433,717,151725,per_session_robust_mad_cf,11.247667074203491,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,gpt2_surprisal,0,-0.0,1.0,1.0,0.6182857142857143,1.0,0.6666457686801877,2,1750,875,151725,per_session_robust_mad_cf,14.007585287094116,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,gpt2_surprisal,1,-0.0,1.0,1.0,0.6205714285714286,1.0,0.6524769338474239,2,1750,875,151725,per_session_robust_mad_cf,13.154093980789185,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_head_pos,0,-0.0,1.0,1.0,0.6057142857142858,1.0,0.6413383070541152,2,1750,875,151725,per_session_robust_mad_cf,14.118661880493164,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_head_pos,1,-0.0,1.0,1.0,0.592,1.0,0.6204089735953942,2,1750,875,151725,per_session_robust_mad_cf,13.042126655578612,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_part_speech,0,-0.0,1.0,1.0,0.6,1.0,0.6083798387811143,2,850,425,151725,per_session_robust_mad_cf,6.958818197250366,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_part_speech,1,-0.0,1.0,1.0,0.6329411764705882,1.0,0.6563025954468953,2,850,425,151725,per_session_robust_mad_cf,6.581319808959961,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_length,0,-0.0,1.0,1.0,0.6445714285714286,1.0,0.6989122598037678,2,1750,875,151725,per_session_robust_mad_cf,13.699639081954956,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,word_length,1,-0.0,1.0,1.0,0.6834285714285714,1.0,0.7443967273753174,2,1750,875,151725,per_session_robust_mad_cf,12.78640913963318,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
